X[s],Quattro sensor 1: EMG.A 1,X[s],Quattro sensor 1: EMG.B 1,X[s],Quattro sensor 1: EMG.C 1,X[s],Quattro sensor 1: EMG.D 1,X[s],Quattro sensor 1: Pitch 1,X[s],Quattro sensor 1: Roll 1,X[s],Quattro sensor 1: Yaw 1,X[s],Quattro sensor 2: EMG.A 2,X[s],Quattro sensor 2: EMG.B 2,X[s],Quattro sensor 2: EMG.C 2,X[s],Quattro sensor 2: EMG.D 2,X[s],Quattro sensor 2: Pitch 2,X[s],Quattro sensor 2: Roll 2,X[s],Quattro sensor 2: Yaw 2,X[s],Quattro sensor 3: EMG.A 3,X[s],Quattro sensor 3: EMG.B 3,X[s],Quattro sensor 3: EMG.C 3,X[s],Quattro sensor 3: EMG.D 3,X[s],Quattro sensor 3: Pitch 3,X[s],Quattro sensor 3: Roll 3,X[s],Quattro sensor 3: Yaw 3,X[s],Quattro sensor 4: EMG.A 4,X[s],Quattro sensor 4: EMG.B 4,X[s],Quattro sensor 4: EMG.C 4,X[s],Quattro sensor 4: EMG.D 4,X[s],Quattro sensor 4: Pitch 4,X[s],Quattro sensor 4: Roll 4,X[s],Quattro sensor 4: Yaw 4,Mean Yaw,Yaw SD,Mean Pitch ,Pitch SD,Mean Roll,Roll SD
0.1935,0,0.1935,0,0.1935,0,0.1935,0,0.5805,1.546482,0.5805,1.758021,0.5805,168.1335,0.1935,0,0.1935,0,0.1935,0,0.1935,0,0.5805,0.3725638,0.5805,-0.05152744,0.5805,172.0056,0.1935,0,0.1935,0,0.1935,0,0.1935,0,0.5805,-0.1437297,0.5805,-4.105146,0.5805,167.3742,0.1935,0,0.1935,0,0.1935,0,0.1935,0,0.5805,-0.01386876,0.5805,-0.2866954,0.5805,165.8971,168.3526,2.606348699,0.440361835,0.769325841,-0.67133696,2.464747289
0.198,0,0.198,0,0.198,0,0.198,0,0.594,1.542991,0.594,1.758892,0.594,168.1098,0.198,0,0.198,0,0.198,0,0.198,0,0.594,0.3732709,0.594,-0.05544016,0.594,172.0113,0.198,0,0.198,0,0.198,0,0.198,0,0.594,-0.1433614,0.594,-4.106754,0.594,167.3936,0.198,0,0.198,0,0.198,0,0.198,0,0.594,-0.01003442,0.594,-0.2857782,0.594,165.9037,168.3546,2.605239192,0.44071652,0.766785795,-0.67227009,2.465500894
0.2025,0,0.2025,0,0.2025,0,0.2025,0,0.6075,1.542306,0.6075,1.760645,0.6075,168.1054,0.2025,0,0.2025,0,0.2025,0,0.2025,0,0.6075,0.3813644,0.6075,-0.06445476,0.6075,171.9928,0.2025,0,0.2025,0,0.2025,0,0.2025,0,0.6075,-0.1442357,0.6075,-4.103263,0.6075,167.4073,0.2025,0,0.2025,0,0.2025,0,0.2025,0,0.6075,-0.007205633,0.6075,-0.2836683,0.6075,165.901,168.351625,2.595900276,0.443057267,0.765898926,-0.672685265,2.463820767
0.207,0,0.207,0,0.207,0,0.207,0,0.621,1.541278,0.621,1.761484,0.621,168.101,0.207,0,0.207,0,0.207,0,0.207,0,0.621,0.3811495,0.621,-0.06749976,0.621,171.9814,0.207,0,0.207,0,0.207,0,0.207,0,0.621,-0.1445255,0.621,-4.10549,0.621,167.4099,0.207,0,0.207,0,0.207,0,0.207,0,0.621,-0.006717014,0.621,-0.2840476,0.621,165.9006,168.348225,2.590521359,0.442796247,0.765391292,-0.67388834,2.464860463
0.2115,0,0.2115,0,0.2115,0,0.2115,0,0.6345,1.539886,0.6345,1.763008,0.6345,168.1067,0.2115,0,0.2115,0,0.2115,0,0.2115,0,0.6345,0.3831076,0.6345,-0.07042994,0.6345,171.9814,0.2115,0,0.2115,0,0.2115,0,0.2115,0,0.6345,-0.1436226,0.6345,-4.105827,0.6345,167.4103,0.2115,0,0.2115,0,0.2115,0,0.2115,0,0.6345,-0.006327028,0.6345,-0.2835605,0.6345,165.8966,168.34875,2.591554376,0.443260993,0.764366094,-0.67420236,2.465304863
0.216,0,0.216,0,0.216,0,0.216,0,0.648,1.535136,0.648,1.762871,0.648,168.1123,0.216,0,0.216,0,0.216,0,0.216,0,0.648,0.3832261,0.648,-0.0722019,0.648,171.9897,0.216,0,0.216,0,0.216,0,0.216,0,0.648,-0.145324,0.648,-4.105516,0.648,167.4201,0.216,0,0.216,0,0.216,0,0.216,0,0.648,-0.007689815,0.648,-0.2832876,0.648,165.8997,168.35545,2.593098704,0.441337071,0.762795154,-0.674533625,2.46498535
0.2205,0,0.2205,0,0.2205,0,0.2205,0,0.6615,1.534898,0.6615,1.765454,0.6615,168.1141,0.2205,0,0.2205,0,0.2205,0,0.2205,0,0.6615,0.3833216,0.6615,-0.07348379,0.6615,171.9818,0.2205,0,0.2205,0,0.2205,0,0.2205,0,0.6615,-0.1436271,0.6615,-4.107491,0.6615,167.4279,0.2205,0,0.2205,0,0.2205,0,0.2205,0,0.6615,-0.007793881,0.6615,-0.2824204,0.6615,165.8984,168.35555,2.588829067,0.441699655,0.762264711,-0.674485298,2.466694794
0.225,0,0.225,0,0.225,0,0.225,0,0.675,1.535575,0.675,1.767686,0.675,168.1168,0.225,0,0.225,0,0.225,0,0.225,0,0.675,0.3835049,0.675,-0.0760944,0.675,171.9801,0.225,0,0.225,0,0.225,0,0.225,0,0.675,-0.1417418,0.675,-4.108606,0.675,167.4278,0.225,0,0.225,0,0.225,0,0.225,0,0.675,-0.007133299,0.675,-0.2805778,0.675,165.8953,168.355,2.588945292,0.4425512,0.761971555,-0.67439805,2.467834435
0.2295,0.000389525,0.2295,0.00011093,0.2295,4.11E-07,0.2295,0.000413374,0.6885,1.531008,0.6885,1.765415,0.6885,168.1193,0.2295,0.000233595,0.2295,0.000134094,0.2295,0.000213355,0.2295,0.000122826,0.6885,0.3854937,0.6885,-0.07947363,0.6885,171.984,0.2295,2.30E-06,0.2295,2.08E-06,0.2295,0.000215987,0.2295,0.000258696,0.6885,-0.1429723,0.6885,-4.112711,0.6885,167.4257,0.2295,0,0.2295,0,0.2295,0,0.2295,0,0.6885,-0.001210994,0.6885,-0.2789585,0.6885,165.9133,168.360575,2.585251022,0.443079602,0.7588929,-0.676432033,2.468803665
0.234,0.000391003,0.234,0.00011181,0.234,4.11E-07,0.234,0.000412658,0.702,1.5308,0.702,1.76159,0.702,168.1382,0.234,0.000234379,0.234,0.000134492,0.234,0.000213182,0.234,0.000122869,0.702,0.3852015,0.702,-0.08171564,0.702,171.9932,0.234,2.64E-06,0.234,2.35E-06,0.234,0.000216869,0.234,0.000258925,0.702,-0.142059,0.702,-4.115272,0.702,167.4204,0.234,0,0.234,0,0.234,0,0.234,0,0.702,0.002310147,0.702,-0.2789631,0.702,165.9147,168.366625,2.589176328,0.444063162,0.757880062,-0.678590185,2.468550335
